Date, Average Temperature (°C)
2024-08-01, 24.71
2024-08-02, 23.74
2024-08-03, 24.60
2024-08-04, 24.15
2024-08-05, 24.01
2024-08-06, 19.88
2024-08-07, 19.85
2024-08-08, 20.82
2024-08-09, 21.20
2024-08-10, 18.38
2024-08-11, 18.65
2024-08-12, 19.45
2024-08-13, 20.68
2024-08-14, 21.55
2024-08-15, 21.31
2024-08-16, 21.54
2024-08-17, 22.32
2024-08-18, 21.12
2024-08-19, 18.81
2024-08-20, 16.12
2024-08-21, 15.87
2024-08-22, 16.78
2024-08-23, 18.70
2024-08-24, 20.65
2024-08-25, 23.18
2024-08-26, 25.25
2024-08-27, 26.08
2024-08-28, 25.21
2024-08-29, 22.07
2024-08-30, 23.85
2024-08-31, 23.70
2024-09-01, 21.12
2024-09-02, 16.85
2024-09-03, 16.00
2024-09-04, 17.61
2024-09-05, 19.71
2024-09-06, 19.72
2024-09-07, 12.60
2024-09-08, 13.02
2024-09-09, 17.50
2024-09-10, 18.49
2024-09-11, 20.20
2024-09-12, 20.69
2024-09-13, 21.25
2024-09-14, 20.80
2024-09-15, 21.22
2024-09-16, 19.97
2024-09-17, 19.01
2024-09-18, 20.13
2024-09-19, 20.17
2024-09-20, 21.25
2024-09-21, 21.75
2024-09-22, 20.17
2024-09-23, 18.07
2024-09-24, 17.45
2024-09-25, 19.11
2024-09-26, 18.09
2024-09-27, 17.91
2024-09-28, 19.10
2024-09-29, 19.69
2024-09-30, 19.15
2024-10-01, 17.84
2024-10-02, 13.27
2024-10-03, 15.08
2024-10-04, 15.98
2024-10-05, 14.15
2024-10-06, 18.22
2024-10-07, 12.78
2024-10-08, 12.44
2024-10-09, 10.97
2024-10-10, 10.26
2024-10-11, 13.51
2024-10-12, 15.52
2024-10-13, 11.10
2024-10-14, 8.64
2024-10-15, 5.97
2024-10-16, 6.53
2024-10-17, 7.21
2024-10-18, 8.80
2024-10-19, 10.72
2024-10-20, 13.12
2024-10-21, 16.70
2024-10-22, 14.58
2024-10-23, 16.94
2024-10-24, 8.63
2024-10-25, 10.01
2024-10-26, 8.83
2024-10-27, 6.14
2024-10-28, 7.11
2024-10-29, 15.50
2024-10-30, 19.90
2024-10-31, 19.43
2024-11-01, 10.40
2024-11-02, 6.07
2024-11-03, 7.89
2024-11-04, 15.67
2024-11-05, 18.78
2024-11-06, 17.55
2024-11-07, 10.41
2024-11-08, 9.55
2024-11-09, 7.05
2024-11-10, 10.56
2024-11-11, 11.15
2024-11-12, 5.66
2024-11-13, 4.83
2024-11-14, 7.80
2024-11-15, 8.62
2024-11-16, 8.02
2024-11-17, 7.47
2024-11-18, 9.83
2024-11-19, 11.96
2024-11-20, 7.58
2024-11-21, 1.79
2024-11-22, 3.17
2024-11-23, 6.07
2024-11-24, 5.49
2024-11-25, 6.26
2024-11-26, 5.05
2024-11-27, 1.88
2024-11-28, 1.36
2024-11-29, -1.92
2024-11-30, -4.83
